project_name,project_type,author_name,became_core_month,became_core_date
uber/RIBs,OSS,Tuomas Artman,2017-10,2017-10-01
uber/RIBs,OSS,Gergely Orosz,2017-10,2017-10-01
uber/RIBs,OSS,Brian Attwell,2017-10,2017-10-01
uber/RIBs,OSS,Pavel Mazurin,2017-10,2017-10-01
uber/RIBs,OSS,Cameron Mc Gorian,2017-11,2017-11-01
uber/RIBs,OSS,Yi Wang,2017-12,2017-12-01
uber/RIBs,OSS,Yuan Lu,2018-09,2018-09-01
uber/RIBs,OSS,Eric Drew,2019-10,2019-10-01
uber/RIBs,OSS,James Barr,2021-02,2021-02-01
uber/RIBs,OSS,Manu Sridharan,2021-03,2021-03-01
uber/RIBs,OSS,Ty Smith,2022-04,2022-04-01
uber/RIBs,OSS,tys,2022-04,2022-04-01
uber/RIBs,OSS,idanakav,2022-12,2022-12-01
uber/RIBs,OSS,Patrick Steiger,2023-04,2023-04-01
uber/RIBs,OSS,Francisco Aguilera,2023-06,2023-06-01
uber/RIBs,OSS,Fran Aguilera,2023-08,2023-08-01
http4s/http4s,OSS,Ross A. Baker,2013-01,2013-01-01
http4s/http4s,OSS,Bryce Anderson,2013-02,2013-02-01
http4s/http4s,OSS,Ivan Porto Carrero,2013-03,2013-03-01
http4s/http4s,OSS,Bryce,2017-02,2017-02-01
http4s/http4s,OSS,Christopher Davenport,2017-03,2017-03-01
http4s/http4s,OSS,Brad Fritz,2017-06,2017-06-01
http4s/http4s,OSS,Bjørn Madsen,2017-07,2017-07-01
http4s/http4s,OSS,Carlos Quiroz,2017-11,2017-11-01
http4s/http4s,OSS,jose,2018-07,2018-07-01
http4s/http4s,OSS,Chris Davenport,2018-09,2018-09-01
http4s/http4s,OSS,Travis CI,2019-02,2019-02-01
http4s/http4s,OSS,Scala steward,2019-04,2019-04-01
http4s/http4s,OSS,Scala Steward,2019-09,2019-09-01
http4s/http4s,OSS,mergify[bot],2020-03,2020-03-01
http4s/http4s,OSS,Kevin Meredith,2020-05,2020-05-01
http4s/http4s,OSS,Raas Ahsan,2021-01,2021-01-01
http4s/http4s,OSS,Erlend Hamnaberg,2021-01,2021-01-01
http4s/http4s,OSS,Matthias Sperl,2021-02,2021-02-01
http4s/http4s,OSS,Ben Plommer,2021-10,2021-10-01
http4s/http4s,OSS,danicheg,2021-11,2021-11-01
http4s/http4s,OSS,Rafał Sumisławski,2021-12,2021-12-01
http4s/http4s,OSS,Arman Bilge,2021-12,2021-12-01
http4s/http4s,OSS,Daniel Esik,2022-09,2022-09-01
http4s/http4s,OSS,http4s-steward[bot],2023-01,2023-01-01
