project_name,author_name,became_core_month,became_core_date,is_core
uber/RIBs,Tuomas Artman,2017-10,2017-10-01,True
uber/RIBs,Gergely Orosz,2017-10,2017-10-01,True
uber/RIBs,Brian Attwell,2017-10,2017-10-01,True
uber/RIBs,Pavel Mazurin,2017-10,2017-10-01,True
uber/RIBs,Cameron Mc Gorian,2017-11,2017-11-01,True
uber/RIBs,Yi Wang,2017-12,2017-12-01,True
uber/RIBs,Yuan Lu,2018-09,2018-09-01,True
uber/RIBs,Eric Drew,2019-10,2019-10-01,True
uber/RIBs,James Barr,2021-02,2021-02-01,True
uber/RIBs,Manu Sridharan,2021-03,2021-03-01,True
uber/RIBs,Ty Smith,2022-04,2022-04-01,True
uber/RIBs,tys,2022-04,2022-04-01,True
uber/RIBs,idanakav,2022-12,2022-12-01,True
uber/RIBs,Patrick Steiger,2023-04,2023-04-01,True
uber/RIBs,Francisco Aguilera,2023-06,2023-06-01,True
uber/RIBs,Fran Aguilera,2023-08,2023-08-01,True
http4s/http4s,Ross A. Baker,2013-01,2013-01-01,True
http4s/http4s,Bryce Anderson,2013-02,2013-02-01,True
http4s/http4s,Ivan Porto Carrero,2013-03,2013-03-01,True
http4s/http4s,Bryce,2017-02,2017-02-01,True
http4s/http4s,Christopher Davenport,2017-03,2017-03-01,True
http4s/http4s,Brad Fritz,2017-06,2017-06-01,True
http4s/http4s,Bjørn Madsen,2017-07,2017-07-01,True
http4s/http4s,Carlos Quiroz,2017-11,2017-11-01,True
http4s/http4s,jose,2018-07,2018-07-01,True
http4s/http4s,Chris Davenport,2018-09,2018-09-01,True
http4s/http4s,Travis CI,2019-02,2019-02-01,True
http4s/http4s,Scala steward,2019-04,2019-04-01,True
http4s/http4s,Scala Steward,2019-09,2019-09-01,True
http4s/http4s,mergify[bot],2020-03,2020-03-01,True
http4s/http4s,Kevin Meredith,2020-05,2020-05-01,True
http4s/http4s,Raas Ahsan,2021-01,2021-01-01,True
http4s/http4s,Erlend Hamnaberg,2021-01,2021-01-01,True
http4s/http4s,Matthias Sperl,2021-02,2021-02-01,True
http4s/http4s,Ben Plommer,2021-10,2021-10-01,True
http4s/http4s,danicheg,2021-11,2021-11-01,True
http4s/http4s,Rafał Sumisławski,2021-12,2021-12-01,True
http4s/http4s,Arman Bilge,2021-12,2021-12-01,True
http4s/http4s,Daniel Esik,2022-09,2022-09-01,True
http4s/http4s,http4s-steward[bot],2023-01,2023-01-01,True
rubenlagus/TelegramBots,Rubenlagu,2016-01,2016-01-01,True
rubenlagus/TelegramBots,Rubenlagus,2016-02,2016-02-01,True
rubenlagus/TelegramBots,Ruben Bermudez,2016-03,2016-03-01,True
rubenlagus/TelegramBots,Marcel Caspar,2016-03,2016-03-01,True
rubenlagus/TelegramBots,flicus,2016-03,2016-03-01,True
rubenlagus/TelegramBots,Alexander Babai,2016-04,2016-04-01,True
rubenlagus/TelegramBots,tschulz,2016-05,2016-05-01,True
rubenlagus/TelegramBots,Timo Schulz,2016-05,2016-05-01,True
rubenlagus/TelegramBots,antonu17,2017-09,2017-09-01,True
rubenlagus/TelegramBots,Abbas Abou Daya,2017-10,2017-10-01,True
rubenlagus/TelegramBots,Clevero,2018-04,2018-04-01,True
rubenlagus/TelegramBots,davioooh,2018-04,2018-04-01,True
rubenlagus/TelegramBots,Victor,2018-11,2018-11-01,True
rubenlagus/TelegramBots,chase,2019-01,2019-01-01,True
rubenlagus/TelegramBots,rubenlagus,2019-07,2019-07-01,True
rubenlagus/TelegramBots,Christian Blos,2020-10,2020-10-01,True
rubenlagus/TelegramBots,Chase,2020-11,2020-11-01,True
rubenlagus/TelegramBots,chmilevfa,2021-01,2021-01-01,True
